country,url,March 16,March 17,March 18,March 19,March 20,March 21,March 22,March 23,March 24,March 25,March 26,March 27,March 28,March 29,March 30,March 31,April 01,April 02,April 03,April 04,April 05,April 06,April 07,April 08,April 09,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,June 01,June 02,June 03,June 04,June 05,June 06,June 07,June 08,June 09,June 10,June 11,June 12,June 13,June 14,June 15,June 16,June 17,June 18,June 19,June 20,June 21,June 22,June 23,June 24,June 25,June 26,June 27,June 28,June 29,June 30,July 01,July 02,July 03,July 04,July 05,July 06,July 07,July 08,July 09,July 10,July 11,July 12,July 13,July 14,July 15,July 16,July 17,July 18,July 19,July 20,July 21,July 22,July 23,July 24,July 25,July 26,July 27,July 28,July 29,July 30,July 31,August 01,August 02,August 03,August 04,August 05,August 06,August 07,August 08,August 09,August 10,August 11,August 12,August 13,August 14,August 15,August 16,August 17,August 18,August 19,August 20,August 21,August 22,August 23,August 24,August 25,August 26,August 27,August 28,August 29,August 30,August 31,September 01,September 02,September 03,September 04,September 05,September 06,September 07,September 08,September 09,September 10,September 11,September 12,September 13,September 14,September 15,September 16,September 17,September 18,September 19,September 20,September 21,September 22,September 23,September 24
Costa Rica,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/CR.png,6.917,8.103,9.881,13.636,17.589,23.123,26.482,31.225,34.98,39.723,45.652,51.976,58.3,62.055,65.217,68.577,74.111,78.261,82.213,85.968,89.723,92.292,95.455,99.209,106.522,110.277,114.032,117.589,120.949,122.134,123.715,126.877,128.261,129.447,130.435,130.83,132.213,134.585,135.573,135.771,136.957,137.352,137.747,139.328,140.909,142.095,143.281,144.862,146.047,146.64,149.209,150.395,151.186,152.767,154.15,156.522,158.3,158.893,161.067,164.032,166.601,168.577,170.553,171.146,174.308,177.273,178.458,180.04,181.423,183.794,187.945,188.933,194.466,197.628,201.976,206.917,208.696,214.229,218.379,228.656,235.968,242.688,249.605,260.474,265.217,271.739,288.735,303.953,318.577,328.458,338.933,344.664,354.941,369.763,383.202,406.719,420.356,437.352,450.0,467.984,497.036,530.435,560.474,588.735,618.577,646.047,683.597,741.7,795.059,851.976,913.241,987.352,1035.771,1084.19,1153.36,1281.621,1352.767,1429.051,1501.186,1588.142,1676.285,1775.889,1886.561,1970.158,2085.178,2196.443,2279.447,2334.19,2442.885,2594.664,2701.383,2885.375,3009.684,3130.632,3230.04,3320.158,3416.996,3521.739,3594.269,3750.0,3834.387,3920.356,4034.98,4164.032,4363.834,4506.324,4601.976,4717.787,4843.478,4951.976,5163.834,5322.332,5481.621,5625.494,5747.826,5858.3,6009.684,6141.304,6350.593,6538.34,6683.794,6810.87,6977.273,7175.296,7369.96,7605.731,7845.652,7845.652,8159.486,8336.759,8558.3,8786.166,9027.668,9272.727,9272.727,9640.316,9861.067,10123.32,10385.178,10665.81,10959.289,10959.289,11336.166,11489.526,11762.055,12019.368,12326.877,12591.304,12591.304,12964.822,13179.644,13450.395,13727.075
Norway,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/NO.png,249.392,273.714,289.991,326.66,358.092,396.258,423.386,490.365,535.641,576.988,630.309,702.526,751.169,801.497,831.618,868.288,909.822,962.956,1004.677,1038.354,1063.985,1097.287,1138.634,1138.634,1162.021,1181.291,1199.065,1220.767,1235.36,1239.102,1260.992,1290.178,1297.848,1316.37,1324.228,1338.821,1345.37,1372.872,1384.659,1396.258,1402.993,1408.232,1421.703,1433.115,1442.47,1447.708,1456.127,1460.992,1468.101,1478.765,1488.307,1495.978,1503.087,1509.822,1515.248,1516.37,1521.422,1526.099,1529.467,1533.396,1537.699,1541.066,1543.312,1544.808,1546.679,1549.298,1554.537,1558.84,1561.459,1562.582,1564.827,1568.382,1571.749,1573.62,1575.678,1578.485,1579.046,1580.168,1581.852,1585.968,1591.02,1594.387,1596.071,1599.065,1601.684,1604.49,1607.858,1610.477,1612.722,1614.219,1614.78,1617.774,1620.206,1626.193,1629.186,1632.554,1635.547,1636.109,1637.231,1641.16,1644.153,1644.153,1652.385,1655.005,1656.688,1657.998,1661.179,1664.359,1665.482,1669.036,1669.972,1670.72,1671.843,1673.901,1674.462,1677.268,1678.952,1679.514,1680.262,1680.823,1684.004,1685.875,1686.623,1688.494,1689.055,1689.055,1690.178,1693.732,1694.855,1699.719,1701.029,1704.584,1705.706,1708.513,1711.88,1715.996,1722.732,1728.718,1731.151,1733.957,1746.305,1751.543,1760.337,1771.375,1786.904,1795.884,1803.181,1811.787,1824.322,1830.309,1843.031,1853.695,1864.359,1871.843,1882.133,1891.674,1901.216,1907.764,1922.357,1926.848,1931.338,1944.808,1955.847,1965.201,1972.311,1979.794,1985.22,1991.207,2017.212,2033.863,2064.359,2080.449,2101.216,2113.377,2130.589,2155.472,2174.556,2197.568,2220.206,2245.65,2259.869,2273.901,2296.726,2318.616,2338.26,2365.575,2388.962,2405.613,2412.909,2433.115,2460.804,2484.004,2508.138
Slovakia,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/SK.png,11.551,13.201,19.252,22.552,25.119,32.637,33.92,34.103,37.404,39.604,41.437,49.322,53.539,57.572,61.606,66.557,73.341,78.108,82.508,86.359,88.926,97.91,106.527,125.046,128.53,131.096,133.48,136.047,140.997,153.099,158.232,179.135,192.336,199.67,212.871,215.072,219.839,228.089,242.941,249.358,251.742,252.842,253.209,253.759,255.042,255.959,257.242,257.976,258.159,259.076,260.543,262.01,264.943,266.777,266.777,267.143,267.143,268.61,269.344,270.81,271.36,273.744,273.927,274.111,274.111,274.294,275.394,275.578,275.761,276.678,277.044,277.411,277.778,278.695,278.695,278.878,278.878,279.061,279.061,279.611,279.795,279.795,280.161,280.161,280.528,280.711,281.078,282.545,282.728,283.278,283.828,284.562,284.562,286.212,286.395,288.962,290.796,290.979,291.162,291.346,294.646,298.863,301.247,303.814,305.097,305.281,305.647,309.314,311.698,315.365,320.682,323.432,323.616,323.982,329.666,339.384,342.868,347.085,348.552,348.735,349.835,353.319,357.719,360.286,362.303,362.853,363.036,370.554,377.338,383.022,388.339,392.556,399.523,399.89,404.107,411.624,415.292,420.242,428.493,429.776,431.61,434.177,443.161,454.712,462.596,470.48,475.981,476.531,479.465,493.216,502.2,513.568,523.469,532.087,533.003,535.754,554.089,568.757,591.309,607.994,615.328,627.796,632.93,648.331,664.833,683.535,704.437,710.671,718.188,731.39,741.107,763.293,788.412,829.85,845.985,850.018,866.703,896.223,928.86,962.963,999.817,1014.301,1023.102,1057.572,1074.441,1103.96,1147.048,1200.22,1224.239,1238.724,1270.81,1332.783,1398.79
Finland,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/FI.png,50.172,58.142,60.859,72.451,81.507,94.729,113.385,126.789,143.452,159.391,173.519,188.553,211.375,224.597,244.883,256.838,261.909,274.95,292.519,340.88,349.031,394.131,418.04,450.462,471.835,501.54,526.173,538.671,554.972,572.541,586.307,610.216,631.951,666.727,685.202,700.598,727.042,747.872,775.946,796.051,810.542,828.835,850.389,858.54,888.607,904.727,914.87,937.511,951.639,964.861,980.257,1009.419,1027.531,1039.304,1065.024,1079.877,1083.862,1087.303,1096.54,1113.023,1128.057,1138.562,1149.611,1155.588,1159.029,1166.999,1176.055,1184.025,1189.64,1191.632,1195.254,1200.507,1212.099,1221.337,1227.314,1236.37,1242.347,1247.057,1247.419,1251.766,1251.766,1257.2,1261.366,1264.445,1268.067,1272.414,1275.131,1279.478,1281.108,1283.644,1286.723,1287.448,1288.172,1289.078,1289.44,1291.976,1293.606,1293.787,1293.968,1295.961,1298.134,1299.04,1302.481,1303.749,1303.749,1305.742,1306.647,1310.632,1311.538,1311.719,1312.806,1313.711,1314.436,1315.341,1315.885,1317.334,1318.421,1320.594,1321.137,1321.319,1322.405,1321.5,1320.956,1322.405,1325.485,1328.564,1329.469,1331.462,1333.454,1335.265,1336.714,1338.163,1339.069,1339.975,1341.061,1342.873,1344.503,1346.133,1348.125,1349.937,1352.291,1355.37,1360.623,1364.246,1368.23,1370.766,1373.664,1376.743,1380.728,1384.17,1391.596,1394.675,1398.297,1400.29,1404.093,1408.44,1413.693,1420.395,1425.648,1431.987,1434.523,1437.783,1445.571,1449.375,1452.454,1456.62,1457.888,1462.96,1464.59,1474.733,1478.174,1485.238,1489.766,1496.287,1501.721,1508.241,1510.053,1526.897,1533.961,1541.75,1549.9,1554.066,1562.579,1580.33,1584.858,1593.733,1604.419,1616.012,1626.517,1638.471,1665.459,1682.304,1698.786
Singapore,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/SG.png,41.868,45.83,53.928,59.442,66.334,74.431,78.394,87.698,96.141,108.718,117.677,126.12,138.181,145.417,151.447,159.545,172.295,180.737,191.937,204.859,225.534,236.906,255.169,279.635,329.083,363.198,396.106,436.251,502.757,560.303,637.319,762.75,870.09,1032.392,1135.079,1380.772,1572.192,1747.244,1925.913,2080.462,2186.94,2347.347,2485.011,2575.983,2694.866,2785.838,2946.417,3023.433,3136.63,3235.355,3344.246,3480.014,3607.685,3740.008,3869.746,4020.676,4104.411,4250.69,4366.989,4496.555,4633.185,4713.302,4830.807,4883.357,4961.062,5059.27,5136.459,5242.248,5352.861,5447.279,5506.548,5572.537,5664.37,5728.636,5833.909,5921.09,6010.339,6080.635,6174.364,6272.399,6361.476,6406.445,6465.714,6531.703,6598.209,6635.77,6713.475,6786.183,6865.956,6925.742,6995.866,7032.737,7058.754,7101.311,7145.59,7170.056,7207.617,7252.758,7290.318,7310.821,7343.73,7363.199,7400.932,7451.07,7487.768,7522.572,7564.957,7602.0,7634.391,7663.509,7695.384,7718.816,7750.346,7777.396,7804.619,7826.156,7859.064,7888.182,7918.85,7974.329,8034.116,8076.845,8119.574,8175.915,8210.718,8254.998,8276.19,8344.936,8398.347,8459.34,8507.066,8595.453,8678.327,8759.133,8820.987,8878.534,8926.432,8994.66,9047.555,9101.483,9140.422,9191.249,9347.693,9399.554,9441.249,9463.992,9494.144,9526.535,9537.045,9544.281,9561.856,9576.156,9590.112,9604.929,9620.608,9637.838,9653.861,9665.577,9685.736,9694.35,9709.34,9718.127,9723.468,9733.806,9747.073,9763.268,9772.055,9781.359,9788.423,9795.315,9796.694,9804.964,9811.856,9817.714,9824.605,9828.396,9836.494,9849.416,9860.27,9875.088,9882.324,9890.767,9899.037,9904.895,9909.375,9912.476,9914.371,9916.956,9920.057,9925.226,9928.844,9930.911,9933.496
Denmark,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/DK.png,160.165,175.975,191.614,210.517,229.765,244.028,260.182,270.15,295.24,319.986,347.654,378.072,406.599,440.626,473.449,522.255,565.389,614.023,678.123,733.631,783.812,837.773,904.966,961.849,1001.89,1033.511,1063.929,1094.518,1119.264,1152.432,1181.646,1215.673,1249.012,1278.055,1302.629,1325.142,1356.075,1393.367,1421.378,1444.922,1485.307,1507.647,1528.785,1555.078,1582.059,1607.836,1634.13,1650.627,1670.562,1695.824,1721.774,1741.88,1766.798,1789.998,1807.355,1826.259,1840.694,1854.099,1867.159,1875.064,1888.469,1899.983,1911.841,1918.886,1931.947,1944.492,1955.662,1963.911,1974.051,1986.424,1991.064,1998.11,2007.218,2012.717,2026.637,2033.511,2039.698,2044.853,2050.868,2057.226,2064.1,2075.099,2083.52,2087.644,2090.05,2096.752,2099.33,2102.595,2113.593,2120.467,2129.747,2133.872,2139.543,2147.104,2155.697,2163.774,2163.774,2163.774,2187.146,2192.988,2202.268,2205.877,2212.579,2212.579,2212.579,2225.64,2228.562,2233.03,2236.639,2239.56,2239.56,2239.732,2247.637,2249.356,2251.418,2254.167,2259.323,2259.323,2259.323,2274.961,2279.086,2284.413,2289.912,2298.333,2298.333,2298.849,2314.143,2321.017,2329.266,2336.14,2344.389,2344.561,2348.342,2367.245,2373.432,2383.227,2399.725,2410.723,2410.723,2410.723,2446.297,2459.873,2481.526,2506.616,2534.284,2534.972,2536.346,2600.962,2627.771,2650.455,2679.154,2708.025,2726.757,2750.129,2771.438,2791.889,2807.355,2827.462,2839.835,2859.082,2872.487,2890.703,2905.138,2914.934,2930.4,2942.946,2956.522,2975.769,2991.923,3008.936,3028.012,3058.945,3088.847,3121.327,3146.589,3186.114,3228.046,3271.352,3325.829,3376.181,3435.126,3493.212,3552.844,3611.102,3611.102,3752.535,3830.727,3932.119,4013.233,4085.582,4169.273,4265.681,4362.433
El Salvador,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/SV.png,0.0,0.0,0.0,0.155,0.155,0.465,0.465,0.465,0.775,1.394,2.014,2.014,2.944,3.719,4.648,4.958,4.958,6.353,7.127,8.677,9.606,10.691,12.086,14.41,15.959,18.128,18.283,19.368,21.227,23.086,24.636,25.411,27.425,29.439,31.143,33.778,34.862,36.721,38.736,42.454,42.454,46.173,50.046,53.455,58.413,61.202,65.696,69.104,75.922,85.993,90.951,98.079,107.685,114.967,121.475,137.744,148.435,154.633,160.676,172.296,187.481,196.002,207.313,218.934,232.104,243.415,254.106,267.276,281.841,296.715,307.251,316.393,326.774,339.944,352.959,371.088,389.991,400.062,411.063,419.12,430.896,441.432,454.602,467.152,480.942,494.422,507.282,522.622,539.355,558.258,576.387,592.811,610.629,629.997,650.759,670.747,693.368,716.765,744.964,770.53,797.955,826.774,854.819,887.357,919.43,956.461,997.521,1043.694,1084.599,1125.968,1163.155,1204.989,1243.725,1287.109,1327.239,1370.313,1416.486,1455.067,1498.915,1546.018,1596.374,1649.365,1697.707,1736.443,1783.08,1835.451,1891.385,1949.489,2010.381,2072.668,2136.969,2203.44,2266.811,2329.563,2393.244,2454.447,2514.72,2577.007,2641.773,2703.44,2764.642,2829.563,2897.583,2963.434,3028.2,3095.445,3164.394,3233.963,3295.476,3353.579,3407.654,3457.391,3504.648,3550.046,3593.585,3635.265,3674.775,3713.046,3749.613,3783.7,3814.998,3844.283,3871.398,3895.259,3917.57,3937.868,3956.771,3971.955,3986.52,4000.62,4013.635,4028.509,4043.849,4060.428,4076.232,4092.501,4107.685,4121.785,4135.11,4148.28,4160.366,4172.296,4184.847,4197.087,4208.708,4222.033,4237.062,4249.768,4269.135,4307.096,4331.267,4331.267,4369.538
Kyrgyzstan,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/KG.png,0.0,0.0,0.465,0.465,0.929,2.168,2.168,2.478,6.505,6.814,6.814,8.982,8.982,13.009,14.558,16.571,17.191,17.965,20.133,22.301,22.766,33.452,35.311,41.815,43.364,46.151,52.501,58.386,64.891,66.594,69.537,72.17,75.732,78.365,85.798,87.967,91.374,94.781,97.723,102.989,102.989,105.622,107.635,109.648,112.901,115.534,117.082,119.096,123.122,128.543,130.556,134.892,138.609,140.313,144.185,155.18,157.349,160.601,161.685,167.57,172.061,172.991,176.243,188.323,192.504,196.686,203.345,209.075,211.398,217.284,221.93,227.35,235.403,246.864,257.395,266.687,270.714,281.4,285.736,289.763,294.099,299.83,305.715,310.825,314.697,318.259,324.144,335.45,335.45,341.8,353.88,382.84,396.779,411.491,411.491,431.934,461.67,519.746,519.746,577.048,612.359,651.076,688.555,698.931,776.986,820.195,852.718,969.645,1048.01,1065.201,1098.653,1142.481,1260.802,1282.174,1370.141,1449.28,1534.768,1612.204,1721.697,1772.34,1772.34,1902.122,1935.574,2028.961,3810.748,4203.655,4203.655,4375.252,4700.17,4839.244,4839.244,4975.066,5081.772,5156.574,5241.443,5357.287,5455.01,5545.145,5621.651,5686.697,5750.194,5814.0,5902.122,5987.146,6065.046,6128.388,6182.283,6207.991,6265.293,6312.374,6360.384,6407.465,6449.59,6482.267,6503.175,6527.18,6554.902,6583.088,6613.443,6642.249,6663.001,6678.953,6697.383,6714.883,6730.525,6750.348,6769.707,6786.433,6798.513,6807.805,6819.885,6835.218,6845.129,6859.687,6876.723,6885.241,6889.732,6909.246,6920.242,6932.167,6942.543,6950.751,6958.03,6969.026,6980.331,6992.876,7006.969,7021.062,7021.062,7042.125,7053.121,7066.749,7086.418
Nicaragua,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/NI.png,0.0,0.0,0.0,0.153,0.153,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.611,0.611,0.611,0.764,0.764,0.764,0.764,0.764,0.917,0.917,0.917,0.917,1.069,1.069,1.222,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.528,1.528,1.528,1.528,1.68,1.68,1.833,1.986,1.986,1.986,1.986,2.139,2.139,2.139,2.291,2.291,2.444,2.444,2.444,2.444,2.444,2.444,2.444,3.819,3.819,3.819,3.819,3.819,3.819,3.819,38.802,38.802,42.621,42.621,42.621,42.621,42.621,115.949,115.949,115.949,115.949,115.949,115.949,115.949,170.791,170.791,170.791,170.791,170.791,170.791,170.791,223.648,223.648,223.648,223.648,223.648,223.648,223.648,278.491,278.491,278.491,278.491,278.491,278.491,278.491,331.5,331.5,331.5,331.5,331.5,331.5,331.5,384.815,384.815,384.815,384.815,384.815,384.815,384.815,434.769,434.769,434.769,434.769,434.769,434.769,434.769,480.752,480.752,480.752,480.752,480.752,480.752,480.752,525.359,525.359,525.359,525.359,525.359,525.359,525.359,560.953,560.953,560.953,560.953,560.953,560.953,560.953,596.089,596.089,596.089,596.089,596.089,596.089,596.089,628.628,628.628,628.628,628.628,628.628,628.628,628.628,658.57,658.57,658.57,658.57,658.57,658.57,658.57,686.526,686.526,686.526,686.526,686.526,686.526,686.526,713.107,713.107,713.107,713.107,713.107,713.107,713.107,736.022,736.022,736.022,736.022,736.022,736.022,736.022,757.867,757.867,757.867,757.867,757.867,757.867,757.867,774.977,774.977,774.977
Libya,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/LY.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.148,0.148,0.148,0.443,1.18,1.18,1.476,1.476,1.623,1.623,2.656,2.656,2.804,2.951,3.099,3.541,3.541,3.541,3.689,3.837,5.165,7.083,7.23,7.23,7.23,7.525,7.525,7.525,8.706,8.853,9.001,9.001,9.001,9.001,9.001,9.001,9.001,9.296,9.296,9.296,9.296,9.296,9.444,9.444,9.444,9.444,9.444,9.444,9.444,9.444,9.444,9.444,9.591,9.591,9.591,10.034,10.181,10.477,10.624,11.067,11.067,11.067,11.362,14.608,15.494,17.412,19.183,23.019,24.79,26.856,28.921,30.84,35.266,37.775,37.775,48.989,52.973,55.777,57.99,60.351,61.679,66.991,68.91,71.418,73.779,75.255,76.73,80.272,84.256,87.797,94.29,98.864,102.995,105.209,107.275,112.439,118.341,121.588,128.966,131.474,135.458,145.935,154.346,164.822,174.413,187.103,198.023,198.023,204.958,211.45,223.108,230.633,234.47,243.766,251.439,264.276,275.343,292.165,308.101,321.086,341.449,357.68,375.83,393.832,417.146,445.182,475.432,507.304,534.307,544.636,566.18,599.528,623.285,660.322,719.935,749.447,772.023,804.338,874.871,929.91,975.505,1040.283,1081.157,1141.803,1205.843,1265.899,1338.055,1396.341,1432.345,1493.434,1540.062,1540.062,1624.465,1664.601,1746.2,1811.126,1863.509,1912.055,1980.67,2060.794,2157.887,2236.388,2327.431,2426.59,2522.355,2619.005,2779.106,2889.627,3019.33,3089.715,3232.699,3297.624,3361.517,3469.824,3562.638,3679.504,3810.241,3901.136,4018.592,4124.096,4249.078,4344.99,4441.051,4519.994
