state,March 16,March 17,March 18,March 19,March 20,March 21,March 22,March 23,March 24,March 25,March 26,March 27,March 28,March 29,March 30,March 31,April 01,April 02,April 03,April 04,April 05,April 06,April 07,April 08,April 09,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,June 01,June 02,June 03,June 04,June 05,June 06,June 07,June 08,June 09,June 10,June 11,June 12,June 13,June 14,June 15,June 16,June 17,June 18,June 19,url
Maryland,6.793,9.941,14.083,17.728,24.686,31.976,40.425,48.047,57.822,70.413,96.59,128.401,164.85,205.275,234.103,275.026,329.037,386.196,456.94,517.744,599.258,670.168,724.179,916.034,1024.719,1154.445,1274.727,1362.702,1480.499,1569.303,1662.082,1786.672,1917.227,2042.148,2128.466,2267.139,2351.469,2447.893,2607.276,2752.907,2943.437,3078.464,3228.568,3332.283,3454.222,3602.173,3888.796,4054.639,4218.495,4375.226,4492.692,4665.991,4866.628,5050.696,5224.492,5398.951,5529.174,5643.161,5767.585,5948.34,6127.769,6290.465,6428.972,6587.691,6883.261,7011.993,7212.132,7360.082,7537.524,7673.048,7812.052,7900.69,8022.629,8235.691,8447.593,8617.745,8744.157,8835.114,8975.609,9109.311,9254.445,9405.544,9523.507,9604.854,9676.262,9759.101,9852.046,9973.323,10042.245,10156.894,10222.502,10277.342,10339.802,10432.582,10475.658,10528.51,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/maryland-large.png
Louisiana,29.186,42.063,55.154,84.126,115.458,125.545,179.626,251.519,297.874,385.219,494.453,588.88,711.421,759.707,863.791,1123.895,1378.632,1963.435,2209.804,2681.723,2792.031,3190.556,3494.653,3654.75,3923.652,4131.82,4295.136,4419.822,4510.171,4617.904,4710.828,4835.515,4961.274,5060.422,5135.106,5262.796,5333.831,5420.532,5523.758,5609.815,5689.649,5745.661,5808.97,5855.754,5936.017,6009.198,6161.569,6253.635,6296.556,6368.02,6437.338,6523.825,6578.12,6621.685,6742.294,6781.567,6827.707,6878.14,7009.479,7186.959,7261.642,7321.732,7389.333,7448.779,7519.384,7579.045,7833.998,7924.347,7924.347,7976.711,8114.059,8166.638,8261.708,8327.163,8327.163,8493.483,8566.235,8657.443,8744.359,8827.411,8919.477,9011.114,9117.774,9188.594,9238.812,9359.421,9449.126,9543.983,9656.222,9932.635,10004.743,10123.42,10238.02,10437.175,10437.175,10411.637,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/louisiana-large.png
New Mexico,8.123,10.99,10.99,16.724,20.547,20.547,27.237,39.661,47.784,53.996,53.996,64.987,99.391,113.249,113.249,150.52,162.466,185.403,255.168,255.168,320.154,361.727,418.59,431.014,413.334,516.547,521.326,594.914,603.037,642.698,709.118,709.118,763.114,859.16,881.619,941.827,941.827,1056.031,1136.787,1204.64,1271.06,1302.598,1349.904,1421.103,1535.307,1629.92,1678.66,1783.307,1839.693,1926.182,1977.311,2050.421,2146.945,2232.957,2283.13,2323.747,2422.182,2490.514,2563.146,2629.566,2705.543,2793.943,2837.427,2912.926,2958.799,3018.529,3092.595,3165.705,3165.705,3317.659,3357.319,3407.015,3465.312,3518.83,3580.472,3643.069,3674.129,3727.169,3834.206,3889.636,3991.416,4143.848,4205.012,4271.909,4330.206,4350.753,4420.041,4475.948,4551.925,4597.32,4646.06,4704.357,4746.407,4809.482,4851.532,4902.661,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/new-mexico-large.png
Illinois,8.253,12.654,12.733,33.168,45.979,59.184,82.449,100.998,120.804,146.584,199.48,237.678,274.383,361.234,397.388,471.113,548.61,604.807,699.831,814.033,884.928,963.761,964.468,1185.091,1185.17,1405.871,1507.498,1638.912,1731.107,1827.232,1932.945,2022.625,2167.558,2291.899,2385.981,2476.839,2598.351,2759.318,2903.151,3117.015,3283.563,3450.661,3606.283,3780.691,3958.007,4159.216,4405.776,4598.34,4833.66,5012.705,5178.703,5362.856,5570.275,5797.342,5980.081,6110.239,6209.743,6525.233,6656.726,6911.617,7102.766,7266.878,7403.165,7583.468,7704.901,7892.591,8071.007,8287.622,8472.483,8669.605,8804.242,8896.83,8984.152,9104.17,9231.655,9346.564,9452.12,9528.674,9655.53,9732.713,9805.73,9896.589,9973.221,10041.365,10093.082,10155.724,10204.848,10265.053,10311.819,10364.715,10417.532,10454.709,10503.675,10546.589,10593.197,10647.587,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/illinois-large.png
Connecticut,8.4,19.04,19.04,44.519,54.319,54.319,91.558,116.197,173.036,244.994,283.353,361.471,426.709,558.026,719.862,875.818,995.935,1070.693,1375.885,1477.242,1588.959,1933.63,2178.624,2178.624,2739.45,2950.564,3222.717,3369.714,3746.584,3916.82,4131.294,4447.406,4706.4,4913.874,5029.231,5548.058,5700.654,6291.159,6467.834,6701.908,6883.064,7075.139,7278.974,7367.171,7494.568,7755.801,8053.714,8200.15,8200.15,8392.225,8573.661,8678.378,8899.292,9074.848,9235.284,9394.879,9453.958,9612.994,9759.15,9929.666,10103.541,10276.577,10477.052,10672.207,10760.125,10924.48,10977.959,11098.916,11205.873,11330.75,11444.147,11564.544,11560.344,11636.222,11693.061,11765.859,11815.978,11966.894,12033.812,12065.171,12106.61,12168.488,12268.726,12310.725,12345.444,12369.803,12416.842,12448.761,12512.6,12597.997,12624.317,12665.476,12697.395,12719.794,12722.874,12755.633,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/connecticut-large.png
North Dakota,1.319,3.957,7.915,23.744,25.063,36.935,36.935,39.574,47.488,59.36,67.275,89.7,123.997,129.274,143.784,160.933,187.315,209.74,228.208,245.357,273.058,296.802,312.632,331.1,354.844,366.716,386.503,406.29,436.629,449.821,481.48,518.415,518.415,696.496,771.686,827.089,849.515,895.684,935.257,986.703,1059.255,1143.679,1242.613,1307.25,1362.653,1407.503,1460.268,1520.948,1571.074,1615.924,1670.008,1745.198,1808.516,1879.749,1931.195,1966.811,2002.427,2072.341,2172.594,2258.337,2322.974,2437.737,2506.332,2547.225,2630.329,2763.561,2940.323,3056.406,3119.724,3189.637,3241.083,3194.913,3217.339,3272.742,3324.187,3369.038,3399.377,3462.695,3490.397,3533.928,3569.544,3620.99,3714.648,3774.008,3799.071,3826.773,3879.538,3930.984,3978.472,4033.875,4062.896,4090.597,4120.937,4176.34,4211.957,4255.488,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/north-dakota-large.png
Rhode Island,19.843,21.733,31.182,41.577,51.026,62.365,78.429,100.162,117.17,124.73,155.912,191.819,225.837,277.807,385.529,461.123,534.827,609.476,671.84,761.608,871.219,1022.407,1161.311,1370.139,1631.882,1631.882,2219.625,2518.22,2518.22,3071.946,3071.946,3334.634,3946.944,4243.65,4446.809,4809.659,5197.078,5519.297,5911.44,6330.041,6736.358,7029.284,7283.468,7490.407,7792.782,8146.183,8468.402,8777.392,8955.038,9120.399,9385.923,9642.942,9950.042,10185.328,10383.762,10653.065,10819.371,10974.339,11183.167,11354.198,11546.017,11749.176,11975.957,12090.293,12237.701,12620.395,12823.554,12979.466,13183.569,13290.346,13290.346,13427.359,13562.484,13695.718,13828.952,14002.818,14105.814,14165.345,14279.68,14380.787,14480.949,14590.56,14590.56,14590.56,14780.49,14826.791,14888.211,14988.373,15068.691,15068.691,15068.691,15206.65,15273.74,15320.041,15372.956,15437.211,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/rhode-island-large.png
Vermont,19.22,19.22,28.83,35.236,46.448,46.448,83.286,120.123,152.156,200.206,253.06,294.703,337.947,376.387,410.021,469.282,514.128,541.356,623.04,738.358,820.042,869.693,920.946,968.995,1005.833,1087.517,1138.77,1164.396,1198.031,1204.437,1215.649,1239.673,1247.682,1286.121,1302.138,1306.942,1310.146,1318.154,1321.357,1324.561,1350.187,1363.0,1369.407,1380.618,1380.618,1387.025,1407.846,1419.058,1436.676,1444.684,1452.692,1454.294,1467.107,1471.912,1475.115,1484.725,1483.123,1484.725,1487.928,1492.733,1494.335,1495.937,1505.546,1505.546,1511.953,1511.953,1521.563,1524.766,1527.97,1531.173,1540.783,1548.791,1555.197,1560.002,1561.604,1564.807,1571.214,1574.417,1582.425,1585.629,1643.288,1644.89,1675.321,1702.549,1721.769,1736.183,1753.802,1777.826,1792.241,1801.851,1805.054,1806.656,1811.461,1809.859,1817.867,1832.282,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/vermont-large.png
Arizona,2.515,2.794,3.772,6.287,10.897,16.485,21.235,32.83,45.543,56.021,70.969,92.903,107.991,128.387,161.637,180.078,213.746,239.591,270.605,305.531,347.303,381.67,400.949,424.139,421.625,434.757,474.013,494.829,517.601,532.13,553.784,591.923,630.202,659.959,689.157,708.017,734.281,764.596,806.368,844.507,878.175,912.822,939.505,971.637,1007.122,1069.429,1113.296,1168.479,1207.037,1246.713,1299.94,1356.101,1389.35,1470.518,1531.149,1553.362,1590.243,1639.559,1706.616,1770.6,1839.754,1909.186,1948.163,1984.905,2036.316,2082.418,2144.167,2182.725,2242.658,2287.922,2315.583,2355.957,2419.383,2497.477,2580.6,2690.407,2785.126,2812.089,2970.652,3123.208,3197.251,3414.21,3555.59,3770.454,3866.71,3953.046,4170.425,4368.105,4615.659,4842.118,4988.248,5147.231,5474.276,5719.036,6069.412,6553.485,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/arizona-large.png
Oklahoma,2.538,4.822,4.822,11.167,12.436,13.451,17.004,20.557,26.902,41.622,62.94,81.721,95.68,108.877,122.074,144.154,182.984,223.591,251.254,294.652,318.255,337.29,374.089,387.287,427.893,455.303,474.083,499.97,525.096,554.282,574.331,598.188,625.597,625.597,651.484,680.162,712.394,734.474,765.69,792.085,810.612,825.839,832.691,865.431,881.42,918.219,951.212,977.353,1008.062,1026.335,1047.399,1066.434,1098.919,1122.776,1139.526,1164.651,1170.742,1200.944,1232.921,1259.57,1291.04,1329.109,1347.635,1369.969,1393.064,1403.977,1441.538,1484.429,1512.6,1532.142,1545.593,1557.775,1580.87,1592.037,1608.534,1628.837,1628.837,1668.175,1698.376,1727.054,1752.941,1778.32,1791.518,1814.613,1828.571,1868.67,1899.125,1935.418,1992.013,2048.863,2088.962,2136.167,2194.032,2259.764,2374.224,2463.559,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/oklahoma-large.png
